usaf,wban,name,country,state,call,lat,lon,elev,begin,end
22960,99999,BJUROKLUBB (LGT-H),SW,,,64.483,21.583,36,19350101,20031222
22970,99999,BJUROKLUBB,SW,,,64.483,21.583,43,20010601,20180807
23000,99999,FJALLNAS,SW,,,62.583,12.217,780,20020523,20060102
23040,99999,FLOTNINGEN,SW,,,61.85,12.267,670,19770701,20040123
23050,99999,NASHUVUD,SW,,,58.9,13.25,50,19730101,19770630
23060,99999,RORBACKSNAS,SW,,,61.133,12.817,465,19770701,20171208
23070,99999,IDRE FJALL,SW,,,61.883,12.85,869,19730101,20180807
23080,99999,TANNAS,SW,,,62.45,12.667,724,19960801,20180807
23100,99999,STORSJO KAPELL,SW,,,62.8,13.067,583,19770701,20050123
23110,99999,HOGFJALLSHOTELLET,SW,,,61.15,13.117,744,20010701,20160421
23120,99999,MALEXANDER,SW,,,58.067,15.217,153,19730101,19770630
23170,99999,DRAVAGEN,SW,,,62.1,13.617,566,20010701,20180807
23201,99999,TINGHALLA,SW,,,57.967,13.85,278,20160726,20180807
23230,99999,KLOVSJO,SW,,,62.533,14.2,550,20011124,20050223
23260,99999,FREDRIKA,SW,,,64.083,18.417,300,19770701,20041221
23270,99999,SVEG A,SW,,,62.05,14.4,362,20090929,20180807
23290,99999,HAMRA,SW,,,61.667,15,455,19730101,20180807
23300,99999,HUNGE,SW,,,62.75,15.1,342,19740627,20051008
23310,99999,HUNGE,SW,,,62.75,15.083,343,20010701,20180807
23321,99999,FAGERHULT,SW,,,57.15,15.667,115,20160726,20180425
23330,99999,LJUNGBY,SW,,,56.833,13.917,155,19730101,19770630
23370,99999,NORRHOG,SW,,,62.267,15.667,320,19730101,20160421
23420,99999,FRANSTA,SW,,,62.517,16.183,105,19770701,19960103
23540,99999,RASTA,SW,,,62.433,17.35,80,20010701,20160421
23780,99999,SODERHAMN FLYGPLATS,SW,,,61.45,17.167,27,20040706,20120103
24000,99999,OSTMARK,SW,,,60.35,12.65,310,19770701,20050924
24020,99999,SKILLINGMARK,SW,,,59.867,11.967,130,19771014,20040224
24080,99999,BLOMSKOG,SW,,,59.217,12.083,171,19960801,20180807
24120,99999,GUSTAVSFORS,SW,,,60.15,13.8,190,19770701,20050726
24150,99999,KARLSTAD SOL,SW,,,59.367,13.467,46,19850731,20111025
24161,99999,MOLKOM,SW,,,59.617,13.733,93,20020924,20020924
24170,99999,PALGRUNDEN,SW,,,58.75,13.15,50,19781014,20180807
24190,99999,KARLSTAD SOL,SW,,,59.367,13.467,46,19840520,19840520
24200,99999,MOCKFJARD,SW,,,60.517,14.95,193,20011117,20041211
24220,99999,ASPHYTTAN,SW,,,59.617,14.183,130,20031224,20050124
24300,99999,BACKA,SW,,,60.917,15.117,227,20010711,20020721
24310,99999,KLOTEN,SW,,,59.867,15.25,289,20090811,20180807
24320,99999,OREBRO,SW,,,59.233,15.05,53,19960801,20180807
24330,99999,FALUN,SW,,,60.617,15.667,157,19350101,20020704
24400,99999,AMOT,SW,,,60.967,16.433,162,20010601,20180807
24430,99999,ENKOPING,SW,,,59.65,17.117,26,19790803,20180807
24480,99999,DUNKER,SW,,,59.2,16.917,33,20010620,20041226
24560,99999,FILM,SW,,,60.233,17.9,35,19960201,20180807
24620,99999,UPPSALA UNIVERSITY,SW,,,59.867,17.633,13,20061108,20180807
24650,99999,STOCKHOLM/BROMMA UA,SW,,,59.35,17.967,22,19801004,20021218
24900,99999,SVANBERGA,SW,,,59.833,18.633,16,20010701,20180807
24940,99999,BJUROKLUBB (LGT-H),SW,,,64.483,21.583,36,20010930,20060303
25000,99999,NORDKOSTER,SW,,,58.9,11,35,19960201,20180807
25010,99999,VADEROARNA,SW,,,58.583,11.067,24,19770804,20180807
25040,99999,SVARTEBORG,SW,,,58.567,11.55,70,19770701,20040425
25070,99999,HUD,SW,,,58.667,11.417,80,20010701,20160421
25210,99999,BERGARUD,SW,,,58.6,12.417,55,19770701,20160421
25230,99999,ABRAUR,SW,,,65.983,18.933,374,19730101,20050325
25240,99999,MOLLA,SW,,,57.933,13.067,190,19730101,20060331
25330,99999,SKARA,SW,,,58.383,13.25,120,20010702,20030911
25420,99999,HALLUM,SW,,,58.317,13.033,71,20010701,20180807
25430,99999,FAGRE,SW,,,58.65,14.133,97,20030621,20030621
25450,99999,AXSTAL,SW,,,58.567,14.567,93,20071104,20180807
25490,99999,TOMTABACKEN,SW,,,57.5,14.467,356,20010701,20180807
25530,99999,KYMBO,SW,,,58.083,13.783,220,20010701,20160421
25531,99999,HABO,SW,,,57.917,14.083,176,20070226,20070226
25550,99999,NASSJO,SW,,,57.65,14.7,305,19770701,20030102
25580,99999,KOLMARDEN-STROMSFORS,SW,,,58.683,16.317,155,20010701,20180807
25660,99999,MALILLA,SW,,,57.4,15.817,98,19730101,20150128
25680,99999,ALLGUNNEN,SW,,,57.067,15.967,115,19770707,20010608
25740,99999,NORRKOPING,SW,,,58.583,16.15,41.6,19970901,20180807
25760,99999,GLADHAMMAR,SW,,,57.717,16.467,35,19770701,20021102
25890,99999,GOTSKA SANDON,SW,,,58.4,19.2,17,20010701,20180807
25910,99999,VISBY AEROLOGISKA STATION,SW,,,57.65,18.35,47,20020315,20180115
25970,99999,KAJAANI,FI,,,64.283,27.683,135.9,20020707,20030820
26020,99999,HALLANDSASEN,SW,,,56.4,12.95,140,20010701,20160421
26060,99999,KULLEN (LGT-H),SW,,,56.3,12.45,72,19770701,20050901
26090,99999,RYNGE,SW,,,55.467,13.667,50,20010701,20160421
26110,99999,HELSINGBORG,SW,,,56.033,12.767,44,19840618,20180807
26180,99999,TORUP,SW,,,56.95,13.067,130,20080229,20180807
26200,99999,TORUP,SW,,,56.967,13.067,87,19960201,20080218
26220,99999,LJUNGBY,SW,,,56.85,13.883,148,19770701,20180807
26230,99999,HORBY,SW,,,55.867,13.667,114,20010827,20180807
26240,99999,MARKARYD,SW,,,56.467,13.65,118,19770701,19870831
26260,99999,OSBY,SW,,,56.367,13.95,85,19770701,20180807
26270,99999,LUND-SOL,SW,,,55.717,13.217,86,19970901,19970902
26330,99999,LUND SOL,SW,,,55.717,13.217,86,20160726,20180807
26350,99999,MALMO,SW,,,55.567,13.067,21,19350413,20180807
26390,99999,YSTAD             &,SW,,,55.433,13.833,34,19770701,19830915
26391,99999,YSTAD,SW,,,55.433,13.833,34,19350101,19381231
26400,99999,VAXJO/URASA(SAFB),SW,,,56.867,14.8,166,19350101,20041115
26790,99999,HOBURG A,SW,,,56.917,18.15,39,20090610,20180807
26850,99999,OLANDS SODRA GRUND,SW,,,56.067,16.683,30,19771126,20070307
27020,99999,INARI KAAMANEN,FI,,,69.133,27.267,156,20140108,20180807
27030,99999,ESPOO SEPANKYLA,FI,,,60.2,24.733,31.5,20080115,20150316
27050,99999,PELKOSENNIEMI PYHATUNTURI,FI,,,67.017,27.217,487.5,20080116,20180807
27110,99999,VAASA KESKUSTA,FI,,,63.1,21.617,13,20080115,20111102
27140,99999,VAALA PELSO,FI,,,64.5,26.44,114,20080116,20180807
27160,99999,RANUA KK,FI,,,65.933,26.517,154,20080116,20080731
27190,99999,SODANKYLA KOKKA,FI,,,67.817,27.75,240,20080116,20180807
27210,99999,KOKKOLA TANKAR,FI,,,63.95,22.85,6.3,20080116,20180807
27220,99999,INARI SAARISELKA,FI,,,68.417,27.417,302,20080123,20180807
27260,99999,ENONTEKIO NAKKALA,FI,,,68.6,23.583,374,20080115,20180807
27300,99999,SAVOLINNA RUUNAVUORI,FI,,,61.833,28.85,157,20090701,20110210
27310,99999,PUUMALA KK,FI,,,61.533,28.2,127,20090801,20130627
27330,99999,LAPPEENRANTA KONNUNSUO,FI,,,61.033,28.567,46.4,20090701,20180807
27360,99999,JUVA PARTALA,FI,,,61.9,27.883,111.5,20090701,20180807
27370,99999,TOHOLAMPI LAITALA,FI,,,63.817,24.167,84.5,20090701,20180807
27380,99999,PYHAJARVI OL OJAKYLA,FI,,,63.733,25.7,153.3,20090701,20180807
27460,99999,HANKO TULLINIEMI,FI,,,59.817,22.917,27.5,20090701,20180807
27470,99999,TURKU RAJAKARI,FI,,,60.383,22.1,5.5,20090701,20180807
27510,99999,PORI TAHKOLUOTO HARBOUR,FI,,,61.633,21.383,4.6,20080116,20180807
27520,99999,KRISTIINANKAUPUNKI LIGHTHOUSE,FI,,,62.2,21.167,21.7,20080115,20180807
27550,99999,YLIVIESKA AIRFIELD,FI,,,64.05,24.717,76,20030330,20180807
27570,99999,RAASEPORI JUSSARO,FI,,,59.817,23.583,22.8,20080116,20180807
27580,99999,VIHTI MAASOJA,FI,,,60.417,24.4,44.2,20080115,20180807
27590,99999,PORVOO HARABACKA,FI,,,60.4,25.6,23.5,20080116,20180807
27620,99999,KOKEMAKI PEIPOHJA HYRKOLA,FI,,,61.267,22.25,39,20080115,20100528
27670,99999,HAMEENLINNA LAMMI PAPPILA,FI,,,61.05,25.05,125,20080115,20180807
27680,99999,HEINOLA ASEMANTAUS,FI,,,61.2,26.05,92,20080115,20180807
27690,99999,KAUHAJOKI KUJA-KOKKO,FI,,,62.417,22.183,93,20080116,20180807
27700,99999,JUUPAJOKI HYYTIALA,FI,,,61.85,24.283,153,20080115,20180807
27710,99999,JOUTSA LEIVONMAKI SAVENAHO,FI,,,61.883,26.1,146,20080115,20180807
27730,99999,TURKU ARTUKAINEN,FI,,,60.45,22.183,9.1,20080115,20180807
27770,99999,SALO KIIKALA AIRFIELD,FI,,,60.467,23.65,117,20040510,20180807
27780,99999,SAVONLINNA PUNKAHARJU,FI,,,61.8,29.317,79.5,20080115,20180807
27800,99999,KORSNAS BREDSKARET,FI,,,62.933,21.183,2.8,20080115,20180807
27830,99999,LAMMI ISO-EVO,FI,,,61.183,25.033,129,20080116,20090201
27880,99999,KUOPIO MAANINKA,FI,,,63.15,27.317,91.3,20080115,20180807
27890,99999,RAUTAVAARA YLA-LUOSTA,FI,,,63.383,28.667,165.5,20080116,20180807
27900,99999,KUMLINGE KK,FI,,,60.25,20.75,22.5,20030330,20180807
27970,99999,HAAPAVEST MUSTIKKAMAKI,FI,,,64.15,25.417,112,20080115,20180807
27980,99999,VALTIMO KK,FI,,,63.667,28.833,115,20080115,20180807
28010,99999,ENONTEKIO KILPISJARVI,FI,,,69.05,20.783,482.7,19790601,20180807
28030,99999,SIIKAJOKI REVONLAHTI,FI,,,64.683,25.083,49.5,20080115,20180807
